날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-15,06시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,07시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,08시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,09시,(군산)삼랑진태양광,3.0,15.899999999999999,349.92
2023-01-15,10시,(군산)삼랑진태양광,3.0,9.096,349.92
2023-01-15,11시,(군산)삼랑진태양광,3.0,38.568,349.92
2023-01-15,12시,(군산)삼랑진태양광,3.0,39.0,349.92
2023-01-15,13시,(군산)삼랑진태양광,3.0,74.388,349.92
2023-01-15,14시,(군산)삼랑진태양광,3.0,226.716,349.92
2023-01-15,15시,(군산)삼랑진태양광,3.0,133.644,349.92
2023-01-15,16시,(군산)삼랑진태양광,3.0,4.763999999999999,349.92
2023-01-15,17시,(군산)삼랑진태양광,3.0,12.012,349.92
2023-01-15,18시,(군산)삼랑진태양광,3.0,4.344,349.92
2023-01-15,19시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,20시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,21시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,22시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,23시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,24시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-16,01시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,02시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,03시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,04시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,05시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,06시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,07시,(군산)삼랑진태양광,3.0,0.0,8557.2
2023-01-16,08시,(군산)삼랑진태양광,3.0,1.2120000000000002,8557.2
2023-01-16,09시,(군산)삼랑진태양광,3.0,332.748,8557.2
2023-01-16,10시,(군산)삼랑진태양광,3.0,1050.84,8557.2
2023-01-16,11시,(군산)삼랑진태양광,3.0,1780.68,8557.2
2023-01-16,12시,(군산)삼랑진태양광,3.0,2106.672,8557.2
