날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-12-07,(군산)영암F1태양광,13.296,01시,0.0,51177.6
2023-12-08,(군산)영암F1태양광,13.296,01시,0.0,47424.0
2023-12-09,(군산)영암F1태양광,13.296,01시,0.0,33254.4
2023-12-10,(군산)영암F1태양광,13.296,01시,0.0,17779.2
2023-12-11,(군산)영암F1태양광,13.296,01시,0.0,3369.6
2023-12-12,(군산)영암F1태양광,13.296,01시,0.0,9705.6
2023-12-13,(군산)영암F1태양광,13.296,01시,0.0,31833.6
2023-12-14,(군산)영암F1태양광,13.296,01시,0.0,3609.6
2023-12-15,(군산)영암F1태양광,13.296,01시,0.0,3628.8
2023-12-16,(군산)영암F1태양광,13.296,01시,0.0,15081.6
2023-12-17,(군산)영암F1태양광,13.296,01시,0.0,816.0
2023-12-18,(군산)영암F1태양광,13.296,01시,0.0,2467.2
2023-12-19,(군산)영암F1태양광,13.296,01시,0.0,9600.0
2023-12-20,(군산)영암F1태양광,13.296,01시,0.0,13497.6
2023-12-21,(군산)영암F1태양광,13.296,01시,0.0,19.2
2023-12-22,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-12-23,(군산)영암F1태양광,13.296,01시,0.0,1852.8
2023-12-24,(군산)영암F1태양광,13.296,01시,0.0,7814.4
2023-12-25,(군산)영암F1태양광,13.296,01시,0.0,24921.6
2023-12-26,(군산)영암F1태양광,13.296,01시,0.0,37852.8
2023-12-27,(군산)영암F1태양광,13.296,01시,0.0,45072.0
2023-12-28,(군산)영암F1태양광,13.296,01시,0.0,29164.8
2023-12-29,(군산)영암F1태양광,13.296,01시,0.0,38966.4
2023-12-30,(군산)영암F1태양광,13.296,01시,0.0,16300.8
2023-12-31,(군산)영암F1태양광,13.296,01시,0.0,4281.6
2023-01-01,"태안#9,10 수상태양광",1.836,01시,0.0,3749.935
2023-01-02,"태안#9,10 수상태양광",1.836,01시,0.0,3974.476
2023-01-03,"태안#9,10 수상태양광",1.836,01시,0.0,3555.403
2023-01-04,"태안#9,10 수상태양광",1.836,01시,0.0,3405.892
2023-01-05,"태안#9,10 수상태양광",1.836,01시,0.0,1554.61
2023-01-06,"태안#9,10 수상태양광",1.836,01시,0.0,1504.168
2023-01-07,"태안#9,10 수상태양광",1.836,01시,0.0,3485.801
2023-01-08,"태안#9,10 수상태양광",1.836,01시,0.0,3185.331
2023-01-09,"태안#9,10 수상태양광",1.836,01시,0.0,3862.929
2023-01-10,"태안#9,10 수상태양광",1.836,01시,0.0,3929.279
2023-01-11,"태안#9,10 수상태양광",1.836,01시,0.0,3852.443
2023-01-12,"태안#9,10 수상태양광",1.836,01시,0.0,3700.94
2023-01-13,"태안#9,10 수상태양광",1.836,01시,0.0,962.342
2023-01-14,"태안#9,10 수상태양광",1.836,01시,0.0,384.9
2023-01-15,"태안#9,10 수상태양광",1.836,01시,0.0,486.323
2023-01-16,"태안#9,10 수상태양광",1.836,01시,0.0,4691.847
2023-01-17,"태안#9,10 수상태양광",1.836,01시,0.0,2877.987
2023-01-18,"태안#9,10 수상태양광",1.836,01시,0.0,3799.291
2023-01-19,"태안#9,10 수상태양광",1.836,01시,0.0,3588.852
2023-01-20,"태안#9,10 수상태양광",1.836,01시,0.0,4556.618
2023-01-21,"태안#9,10 수상태양광",1.836,01시,0.0,3748.488
2023-01-22,"태안#9,10 수상태양광",1.836,01시,0.0,1443.243
2023-01-23,"태안#9,10 수상태양광",1.836,01시,0.0,1630.18
2023-01-24,"태안#9,10 수상태양광",1.836,01시,0.0,1803.556
2023-01-25,"태안#9,10 수상태양광",1.836,01시,0.0,3652.851
