발전기명,년월일,설비용량(MW),01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
화순 풍력 발전소,2017-03-13,16,241.404,244.944,395.472,1797.816,2696.484,601.992,4075.032,7346.94,5982.024,3855.768,3608.58,4325.46,5977.26,7263.3,7999.692,7157.148,8555.112,6765.444,7176.36,6073.416,7395.072,7462.776,9832.344,9861.144
화순 풍력 발전소,2017-03-14,16,9412.404,8175.228,11805.324,12828.288,11042.376,10653.42,10286.424,7865.148,9970.728,10849.104,6930.612,5239.704,5020.704,4133.22,2685.432,2138.4,2067.108,739.452,1843.56,5332.56,8961.636,9214.032,10166.184,10299.756
화순 풍력 발전소,2017-03-15,16,12878.484,13340.58,11455.752,8534.064,3813.972,2214.24,2513.004,2048.664,554.196,2541.624,5275.632,8873.772,7021.2,7562.28,8584.944,7869.024,10923.048,10526.292,12519.096,9369.288,9670.656,9248.964,11044.608,7992.096
화순 풍력 발전소,2017-03-16,16,7063.044,8285.7,10735.14,10287.156,6736.428,10911.024,4839.336,2533.176,1178.196,1330.5,1152.096,1177.416,938.016,597.192,515.256,875.268,2106.228,4135.548,3894.12,3846.48,5820.468,8551.452,11017.824,12931.524
화순 풍력 발전소,2017-03-17,16,11274.984,11678.34,14705.16,14518.896,13356.216,8889.876,10403.664,13230.06,11963.664,9760.872,6084.252,11773.344,13040.268,11859.516,8375.868,5430.78,3060.852,1579.476,128.4,70.536,30.684,57.6,959.988,601.224
화순 풍력 발전소,2017-03-18,16,448.176,5481.276,5099.46,1942.368,6739.236,9287.592,11465.736,12509.256,12154.848,9297.084,7001.256,6148.5,1101.876,531.804,350.664,0.612,112.188,108.468,1044.756,2070.204,674.664,1032.612,525.792,1289.268
화순 풍력 발전소,2017-03-19,16,2628.252,2953.368,2349.756,1308.228,1304.82,1076.256,185.676,909,3498.276,4638.024,5094.096,2808.84,91.776,566.1,2234.364,2324.352,3533.172,3167.736,3358.632,3083.7,1274.328,2017.308,3520.02,6065.364
화순 풍력 발전소,2017-03-20,16,7733.736,6437.352,5510.832,5976.42,6841.176,10352.388,12876.816,13118.172,12562.236,12350.616,9276.828,10292.928,5802.852,3070.128,2875.296,1807.032,3347.376,4171.908,3605.988,6924.492,7981.608,5681.352,5129.472,5711.616
화순 풍력 발전소,2017-03-21,16,7893.3,11951.76,11420.208,7265.412,5697.348,6887.28,8114.304,11376.372,10039.896,9950.664,8685.204,5891.784,907.008,71.364,0,7.08,0,0,0.912,137.676,167.556,421.584,311.064,319.236
화순 풍력 발전소,2017-03-22,16,960.864,1246.536,1498.776,1856.028,5613.012,7349.124,9032.952,5740.032,4009.632,4581.228,1970.256,2177.796,361.92,273.78,117.6,297.108,365.652,503.868,2135.916,4257.12,4220.28,4228.032,4223.976,2952.924
