"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"영흥풍력","1"," 2025-05-16 00:00:00","0","0","0","0","0","0","0","119.694","89.593","0","172.683","203.092","207.122","0","0","0","0","0","0","0","0","353.145","172.278","3.897","1321.504","55","353.14","3.897","353.145","0"
"영흥풍력","2"," 2025-05-16 00:00:00","0","0","0","0","0","134.4","441.6","1029.12","1678.08","1816.32","1303.68","1144.32","1714.56","808.32","32.64","282.24","360.96","295.68","172.8","345.6","311.04","2342.4","6929.28","710.4","21853.44","911","6929.28","32.64","6929.28","0"
"군위 화산풍력","1"," 2025-05-16 00:00:00","0","0","0","0","0","0","0","0","0","0","0","19.284","125.347","376.042","318.189","597.811","231.411","0","0","0","0","0","0","0","1668.084","70","597.81","19.284","597.811","0"
"어음풍력","1"," 2025-05-16 00:00:00","14920.416","14960.68","15032.528","5777.744","12342.288","1459.584","8809.08","11327.064","14442.792","14203.168","9501.912","10419.808","16179.52","13984.488","20101.032","20018.712","19486.208","20080.592","20093.136","20124.104","20117.72","20109.88","20124.048","20112.4","363728.904","15155","20124.1","1459.584","20124.104","1459.584"
"삼천포풍력","1"," 2025-05-15 00:00:00","0","0","0","0","0","7.2","13.536","50.976","64.224","11.088","16.704","3.888","76.032","81.576","47.232","10.944","0.576","0","0","0","0","0","0","0","383.976","16","81.57","0.576","81.576","0"
"영흥풍력","1"," 2025-05-15 00:00:00","145.109","362.766","316.163","346.107","309.626","570.093","486.917","442.398","125.942","881.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3986.421","166","881.3","125.942","881.3","0"
"영흥풍력","2"," 2025-05-15 00:00:00","1493.76","4039.68","5232","6898.56","4185.6","8755.2","10373.76","4842.24","2780.16","334.08","0","0","53.76","1.92","0","0","1.92","0","0","0","0","0","0","0","48992.64","2041","10373.76","1.92","10373.76","0"
"군위 화산풍력","1"," 2025-05-15 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2025-05-15 00:00:00","18567.08","18444.328","20038.928","20036.912","16617.944","14574.56","16957.08","18416.048","18270.28","16377.312","13057.8","13671.112","15527.176","11733.008","6550.208","7518.728","8646.512","7536.76","7953.064","8902.936","5426.848","9418.584","8395.296","13408.08","316046.584","13169","20038.92","5426.848","20038.928","5426.848"
"삼천포풍력","1"," 2025-05-14 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.984","30.528","20.736","51.624","2.952","0","0","0","0","112.824","5","51.62","2.952","51.624","0"
"영흥풍력","1"," 2025-05-14 00:00:00","210.67","49.369","54.574","131.206","211.923","369.129","354.86","152.822","0","693.292","0","0","8.68","0","297.054","489.347","289.149","137.126","210.651","182.459","232.382","240.037","46.129","49.831","4410.69","184","693.29","8.68","693.292","0"
"영흥풍력","2"," 2025-05-14 00:00:00","2484.48","1011.84","769.92","1157.76","1589.76","2423.04","3048.96","2112","1739.52","5212.8","3943.68","1311.36","280.32","389.76","2229.12","5162.88","2711.04","1837.44","3822.72","3196.8","4120.32","3841.92","2920.32","1132.8","58450.56","2435","5212.8","280.32","5212.8","280.32"
